fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-07-13,32.2,273.9,2,0,3,100.0
2023-07-14,100.0,227.9,1,0,1,100.0
2023-07-15,100,398.6,0,0,3,100.0
2023-07-16,100,322.8,0,0,2,100.0
2023-07-17,100.0,287.6,1,0,3,100.0
2023-07-18,100,501.6,0,0,2,100.0
2023-07-19,100.0,277.8,1,0,6,100.0
2023-07-20,100,454.2,0,0,2,100.0
2023-07-21,100,303.9,0,0,5,100.0
2023-07-22,100,413.3,0,0,6,100.0
2023-07-23,100,344.5,0,0,2,100.0
2023-07-24,99.9,332.7,3,0,0,0.0
2023-07-26,0,-9,9,9,9,-9
2023-07-27,100.0,215.7,1,0,2,0.0
2023-07-28,100,294.0,0,0,4,0.0
2023-07-29,100,321.9,0,0,6,0.0
2023-07-30,100,314.3,0,0,8,0.0
2023-07-31,100,554.0,0,0,2,0.0
2023-08-01,100.0,317.0,1,0,2,0.0
2023-08-02,100.0,337.2,1,0,3,0.0
2023-08-03,100.0,303.8,1,0,7,0.0
2023-08-04,99.9,229.2,3,0,4,0.0
2023-08-05,99.9,254.9,2,0,3,0.0
2023-08-06,100,441.0,0,0,4,0.0
2023-08-07,100,431.6,0,0,1,0.0
2023-08-08,100.0,174.9,1,0,2,0.0
2023-08-09,100.0,275.3,2,0,3,0.0
2023-08-10,100.0,406.5,1,0,2,0.0
2023-08-11,100.0,341.8,1,0,2,0.0
2023-08-12,100,416.2,0,0,5,0.0
2023-08-13,100,443.8,0,0,7,0.0
2023-08-14,100.0,198.4,1,0,4,0.0
